h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.904163,0.57319,0.904163,0.57319,"{'att': 254, 'def': 10}","{'att': 230, 'def': 20}",5,4,2,1,1.6366,w,12/12/2020 15:00,1,0,0,3,0.330973
h,0.361866,2.04443,0.361866,2.04443,"{'att': 402, 'def': 19}","{'att': 141, 'def': 26}",3,8,0,2,0.2477,l,01/05/2021 11:30,0,0,1,0,-1.682564
h,0.753669,1.68401,0.753669,1.68401,"{'att': 338, 'def': 19}","{'att': 242, 'def': 33}",4,7,1,2,0.6264,l,20/01/2021 20:15,0,0,1,0,-0.930341
h,1.04664,1.23218,1.04664,1.23218,"{'att': 432, 'def': 16}","{'att': 173, 'def': 17}",2,9,1,3,1.2189,l,17/02/2021 20:15,0,0,1,0,-0.18554
h,2.30744,0.168796,2.30744,0.168796,"{'att': 180, 'def': 20}","{'att': 390, 'def': 14}",13,2,3,0,2.7927,w,18/01/2021 20:00,1,0,0,3,2.138644
h,0.961088,0.0515836,0.961088,0.0515836,"{'att': 155, 'def': 30}","{'att': 411, 'def': 5}",5,3,4,0,2.2645,w,17/01/2021 19:15,1,0,0,3,0.9095044
h,2.41157,0.277737,2.41157,0.277737,"{'att': 249, 'def': 19}","{'att': 307, 'def': 19}",9,9,3,0,2.8396,w,21/12/2020 20:00,1,0,0,3,2.133833
h,0.717681,2.70718,0.717681,2.70718,"{'att': 242, 'def': 30}","{'att': 97, 'def': 8}",2,7,3,2,0.2224,w,27/01/2021 18:00,1,0,0,3,-1.989499
h,2.40272,1.50285,2.40272,0.741677,"{'att': 125, 'def': 16}","{'att': 214, 'def': 21}",14,7,3,2,2.029,w,04/04/2021 11:00,1,0,0,3,1.661043
h,0.799352,1.87063,0.799352,1.87063,"{'att': 263, 'def': 16}","{'att': 142, 'def': 19}",6,4,0,1,0.579,l,08/11/2020 12:00,0,0,1,0,-1.071278
h,1.39569,1.26267,1.39569,1.26267,"{'att': 312, 'def': 18}","{'att': 83, 'def': 23}",1,14,1,0,1.477,w,12/09/2020 14:00,1,0,0,3,0.13302
h,3.15412,0.269813,1.63179,0.269813,"{'att': 308, 'def': 31}","{'att': 196, 'def': 21}",19,2,4,3,2.927,w,12/09/2020 16:30,1,0,0,3,1.361977
h,0.489318,2.86902,0.489318,2.86902,"{'att': 478, 'def': 21}","{'att': 203, 'def': 28}",4,9,0,7,0.1316,l,19/12/2020 12:30,0,0,1,0,-2.379702
h,1.64351,0.791673,1.64351,0.791673,"{'att': 248, 'def': 19}","{'att': 263, 'def': 28}",11,5,3,0,2.0699,w,13/12/2020 19:15,1,0,0,3,0.851837
h,0.347136,0.706632,0.347136,0.706632,"{'att': 230, 'def': 28}","{'att': 275, 'def': 20}",9,6,0,1,0.8712,l,26/09/2020 19:00,0,0,1,0,-0.359496
h,2.20348,0.772317,2.20348,0.772317,"{'att': 124, 'def': 23}","{'att': 335, 'def': 20}",17,1,2,0,2.4278,w,23/05/2021 15:00,1,0,0,3,1.431163
h,0.904183,2.25211,0.143014,2.25211,"{'att': 414, 'def': 11}","{'att': 366, 'def': 32}",1,13,0,2,0.3666,l,20/09/2020 15:30,0,0,1,0,-2.109096
h,1.22604,0.295925,1.22604,0.295925,"{'att': 258, 'def': 7}","{'att': 299, 'def': 29}",3,5,1,0,2.2974,w,17/04/2021 19:15,1,0,0,3,0.930115
h,4.89472,1.0277,4.89472,1.0277,"{'att': 297, 'def': 31}","{'att': 202, 'def': 22}",9,7,3,1,2.946,w,05/12/2020 20:00,1,0,0,3,3.86702
h,2.46473,1.56434,1.70357,1.56434,"{'att': 213, 'def': 28}","{'att': 214, 'def': 20}",10,5,2,1,1.988,w,01/01/2021 20:00,1,0,0,3,0.13923
h,0.661744,1.25206,0.661744,0.490894,"{'att': 313, 'def': 10}","{'att': 229, 'def': 17}",1,11,2,1,0.7475,w,19/12/2020 17:30,1,0,0,3,0.17085
h,1.73432,1.8141,1.73432,1.8141,"{'att': 229, 'def': 28}","{'att': 217, 'def': 30}",6,4,1,3,1.3044,l,31/01/2021 14:00,0,0,1,0,-0.07978
h,1.64907,1.08059,1.64907,0.319419,"{'att': 122, 'def': 14}","{'att': 318, 'def': 11}",20,4,0,1,1.7749,l,21/01/2021 20:00,0,0,1,0,1.329651
h,0.701256,2.05229,0.701256,1.29112,"{'att': 264, 'def': 32}","{'att': 321, 'def': 11}",5,6,1,2,0.4026,l,23/05/2021 15:00,0,0,1,0,-0.589864
h,0.639325,2.25382,0.639325,2.25382,"{'att': 219, 'def': 29}","{'att': 270, 'def': 18}",2,10,0,2,0.3695,l,08/05/2021 14:00,0,0,1,0,-1.614495
h,2.5428,0.432603,2.5428,0.432603,"{'att': 141, 'def': 22}","{'att': 348, 'def': 33}",8,1,2,0,2.7429,w,15/02/2021 20:00,1,0,0,3,2.110197
h,1.09518,1.18977,1.09518,1.18977,"{'att': 225, 'def': 21}","{'att': 349, 'def': 12}",11,1,0,1,1.241,l,03/02/2021 20:15,0,0,1,0,-0.09459
h,2.03376,1.34801,1.27259,0.586839,"{'att': 206, 'def': 22}","{'att': 188, 'def': 31}",9,5,1,2,1.9166,l,07/12/2020 20:00,0,0,1,0,0.685751
h,1.03495,0.895967,1.03495,0.895967,"{'att': 145, 'def': 9}","{'att': 260, 'def': 33}",7,2,1,2,1.4743,l,14/03/2021 12:00,0,0,1,0,0.138983
h,1.09246,0.770706,1.09246,0.770706,"{'att': 299, 'def': 26}","{'att': 105, 'def': 17}",2,8,2,1,1.7997,w,21/02/2021 12:00,1,0,0,3,0.321754
h,2.6311,1.21805,1.86993,1.21805,"{'att': 411, 'def': 12}","{'att': 211, 'def': 24}",5,8,2,1,2.4522,w,01/11/2020 14:00,1,0,0,3,0.65188
h,2.86149,0.832596,2.10032,0.832596,"{'att': 195, 'def': 28}","{'att': 329, 'def': 30}",11,5,2,1,2.675,w,18/05/2021 19:15,1,0,0,3,1.267724
h,1.8433,0.290042,1.8433,0.290042,"{'att': 287, 'def': 25}","{'att': 284, 'def': 23}",10,9,2,0,2.6106,w,01/05/2021 16:30,1,0,0,3,1.553258
h,2.97659,1.57583,2.21546,0.814659,"{'att': 239, 'def': 36}","{'att': 267, 'def': 24}",10,6,2,3,2.3391,l,26/09/2020 11:30,0,0,1,0,1.400801
h,1.50125,2.37695,1.50125,2.37695,"{'att': 225, 'def': 17}","{'att': 124, 'def': 34}",7,20,0,3,0.8236,l,23/10/2020 19:00,0,0,1,0,-0.8757
h,0.567234,1.68656,0.567234,1.68656,"{'att': 259, 'def': 17}","{'att': 307, 'def': 25}",7,14,1,5,0.53,l,06/12/2020 12:00,0,0,1,0,-1.119326
h,0.777149,2.80551,0.777149,2.80551,"{'att': 358, 'def': 19}","{'att': 192, 'def': 15}",3,6,0,2,0.2464,l,28/02/2021 19:15,0,0,1,0,-2.028361
h,0.852495,0.323445,0.852495,0.323445,"{'att': 317, 'def': 21}","{'att': 332, 'def': 18}",4,9,1,2,1.8117,l,12/01/2021 20:15,0,0,1,0,0.52905
h,0.987365,1.52404,0.987365,1.52404,"{'att': 127, 'def': 17}","{'att': 338, 'def': 21}",14,6,4,2,0.9512,w,20/09/2020 18:00,1,0,0,3,-0.536675
h,1.09704,1.56222,1.09704,1.56222,"{'att': 172, 'def': 27}","{'att': 336, 'def': 22}",7,6,0,1,0.9518,l,09/05/2021 15:30,0,0,1,0,-0.46518
h,2.55216,1.03384,2.55216,1.03384,"{'att': 201, 'def': 38}","{'att': 238, 'def': 27}",12,5,3,1,2.4299,w,08/05/2021 11:30,1,0,0,3,1.51832
h,1.223,1.58811,1.223,1.58811,"{'att': 271, 'def': 17}","{'att': 239, 'def': 22}",8,6,1,2,1.0494,l,01/05/2021 19:00,0,0,1,0,-0.36511
h,2.40286,1.39788,2.40286,0.636707,"{'att': 170, 'def': 12}","{'att': 393, 'def': 20}",7,8,2,1,2.1655,w,24/10/2020 19:00,1,0,0,3,1.766153
h,0.264584,0.702081,0.264584,0.702081,"{'att': 311, 'def': 23}","{'att': 183, 'def': 29}",1,6,1,2,0.793,l,03/01/2021 14:15,0,0,1,0,-0.437497
h,0.648582,1.23996,0.648582,1.23996,"{'att': 273, 'def': 25}","{'att': 157, 'def': 18}",5,15,0,1,0.8648,l,12/01/2021 22:15,0,0,1,0,-0.591378
h,1.1199,0.27571,1.1199,0.27571,"{'att': 193, 'def': 21}","{'att': 269, 'def': 22}",9,9,2,1,2.1303,w,09/05/2021 11:00,1,0,0,3,0.84419
h,0.9931,0.689548,0.9931,0.689548,"{'att': 108, 'def': 19}","{'att': 445, 'def': 26}",11,3,1,2,1.572,l,27/01/2021 20:15,0,0,1,0,0.303552
h,0.883061,2.05809,0.883061,2.05809,"{'att': 462, 'def': 11}","{'att': 209, 'def': 17}",2,13,1,3,0.4976,l,31/01/2021 16:30,0,0,1,0,-1.175029
h,0.449499,2.72578,0.449499,1.96461,"{'att': 335, 'def': 33}","{'att': 276, 'def': 32}",7,6,0,3,0.0733,l,13/03/2021 20:00,0,0,1,0,-1.515111
h,1.20465,1.45722,1.20465,0.696055,"{'att': 253, 'def': 18}","{'att': 91, 'def': 20}",6,4,2,1,1.1299,w,21/12/2020 17:30,1,0,0,3,0.508595
